state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count,dd,tt,state_clean,trump_win_rate_list,ddtt,idx
Arizona (EV: 11),52:05.6,Biden,Trump,1410977,1317468,93509,619400,0,0,0,0,0,1294,1489,0.576694795,0,0.649,{},2766463,20201104,1552,Arizona,0.482864049,202011041552,AZ
Connecticut (EV: 7),52:05.6,Biden,Trump,930582,636938,293644,232034,14,14,14,0.285714286,0.714285714,633,753,1.142734609,2.56E-05,0.56833392,{'Litchfield': 14},1592283,20201104,1552,Connecticut,0.406334847,202011041552,CT
Massachusetts (EV: 11),52:05.6,Biden,Trump,1626633,754235,872398,1195847,1882,1832,"1,832",0.67139738,0.32860262,1451,2174,0.873188233,0.000854613,0.366479024,{'Berkshire': 1882},2435555,20201104,1552,Massachusetts,0.316789927,202011041552,MA
Maine (EV: 4),52:05.6,Biden,Trump,344630,267835,76795,187243,296,282,282,0.578014184,0.421985816,315,552,0.711162503,0.000454081,0.530168666,{'Oxford': 296},632218,20201104,1552,Maine,0.437306622,202011041552,ME
Michigan (EV: 16),52:05.6,Biden,Trump,2518751,2509131,9620,426654,2034,2010,"2,010",0.491542289,0.508457711,4453,4974,0.511450324,1.41E-05,0.543033333,{'Oakland': 2034},5112648,20201104,1552,Michigan,0.499043335,202011041552,MI
Minnesota (EV: 10),52:05.6,Biden,Trump,1682399,1453595,228804,163472,535,525,525,0.36,0.64,3765,4110,1.216447554,0.001878296,0.634357224,{'Mower': 535},3201243,20201104,1552,Minnesota,0.463519701,202011041552,MN
Pennsylvania (EV: 20),52:05.6,Trump,Biden,3019296,2477804,541492,1354149,2761,2736,"2,736",0.265716374,0.734283626,7097,9128,0.702483881,-6.64E-05,0.561533333,{'Lehigh': 2761},5571106,20201104,1552,Pennsylvania,0.549252515,202011041552,PA
South Dakota (EV: 3),52:05.6,Trump,Biden,244154,127211,116943,41156,1,1,1,1,0,653,693,1.959033298,4.79E-05,0.25,{'Union': 1},381619,20201104,1552,South Dakota,0.657450217,202011041552,SD
Vermont (EV: 3),52:05.6,Biden,Trump,226944,110839,116105,18014,244,208,208,0.596153846,0.403846154,268,275,3.830535706,0.045641383,0.480272109,"{'Addison': 218, 'Chittenden': 1, 'Orange': 25}",349414,20201104,1552,Vermont,0.328136703,202011041552,VT
Connecticut (EV: 7),58:54.9,Biden,Trump,930582,636941,293641,232031,3,3,3,0,1,633,753,1.142736353,1.74E-06,0.568561873,{'New London': 3},1592286,20201104,1558,Connecticut,0.406335984,202011041558,CT
